q_id,doc_id,question,answer,doc_path,documents,deck_url,arithmetic_expression,evidence_pages,answer_type,resoning_type,directory_exists
42,acuteappendicitis-110202065502-phpapp02_95,"Which part of the organ, the Inflammation of which is called Appendicitis, shows the Signs/symptoms of Diarrhoea and crampy pain?",Retro/paraileal,acuteappendicitis-110202065502-phpapp02_95.pdf,"['acuteappendicitis-110202065502-phpapp02_95.pdf', 'biitheinternetofeverything2015v4-141230135143-conversion-gate02_95.pdf', 'monetizationslides-150116120943-conversion-gate01_95.pdf', 'citizenscience-practiceandpolicy-huji-151214131928_95.pdf', 'cobaltpresentation-110513172526-phpapp02_95.pdf', 'shouldyoubecomeacarsharingoperator-introduction-140313165726-phpapp02_95.pdf', 'donorretentionisntspeeddating-150827141331-lva1-app6891_95.pdf', 'ecommerceopportunityindia-141124010546-conversion-gate01_95.pdf']",https://www.slideshare.net/snipergirl/acute-appendicitis-6786623,,"[2, 14]",Single-Span,Multi-Hop,True
45,agileenterprise-reinventingorgs-150402022438-conversion-gate01_95,"Who is the author of the book, the title of which is the same as the section title of the presentation?",FREDERIC LALOUX,agileenterprise-reinventingorgs-150402022438-conversion-gate01_95.pdf,"['agileenterprise-reinventingorgs-150402022438-conversion-gate01_95.pdf', 'associationmappinginplants-150413205026-conversion-gate01_95.pdf', 'avoidingdeathbypowerpointslideshare-090322075422-phpapp01_95.pdf', 'cmigq7qvsnisuodbt0y9-140511134622-phpapp01_95.pdf', 'research2guidancemhealthappdevelopereconomicsslideshare-140522052520-phpapp01_95.pdf', 'newmicrosoftpowerpointpresentation-140302025348-phpapp01_95.pdf', 'blueoceanstrategypresentation-130214083415-phpapp02_95.pdf']",https://www.slideshare.net/michael.sahota/agile-enterprise-reinventing-organizations,,"[12, 13]",Single-Span,Multi-Hop,True
54,8apr2015gdfsession4-150408094801-conversion-gate01_95,How many points are listed to explain that a drug which has three Great Challenges such as Therapeutic Equivalency is the same as brand name drug?,7,8apr2015gdfsession4-150408094801-conversion-gate01_95.pdf,"['8apr2015gdfsession4-150408094801-conversion-gate01_95.pdf', 'acuteappendicitis-110202065502-phpapp02_95.pdf', 'asean2015-140727051418-phpapp02_95.pdf', 'buildingmicroserviceswithscalafunctionaldomainmodelsandspringbootchrisrichardson-141030115818-conversion-gate01_95.pdf', 'linkedinsalesdeck-140604040835-phpapp02_95.pdf', 'ardentcapitalandthailandinvestments2014-01-15v3-140120212530-phpapp02_95.pdf']",https://www.slideshare.net/ObaidAli1/april-08th-2015-forum-on-generic-drugs-promise-of-regulatory-science-33,,"[3, 5]",Non-Span,Multi-Hop & Discrete,True
59,5benefitsofanonprofittheoryofchange-160229202540_95,How many steps are there in the theory which answers 5 key questions leading to sustainable community change?,5,5benefitsofanonprofittheoryofchange-160229202540_95.pdf,"['5benefitsofanonprofittheoryofchange-160229202540_95.pdf', 'cellcyclecheckpointsapoptosisandcancer-141109105010-conversion-gate01_95.pdf', 'careerdevelopment-120104020127-phpapp01_95.pdf', 'rrresultsq22015enfinal-150806063426-lva1-app6891_95.pdf', 'competitiveoutcomes-091006065143-phpapp01_95.pdf']",https://www.slideshare.net/nedgington/5-benefits-of-a-nonprofit-theory-of-change,,"[5, 8]",Non-Span,Multi-Hop & Discrete,True
67,1-150711120533-lva1-app6892_95,What did the act which made no provision about social impact assessment say about Compensation?,Based on the market value,1-150711120533-lva1-app6892_95.pdf,"['1-150711120533-lva1-app6892_95.pdf', 'competitiveoutcomes-091006065143-phpapp01_95.pdf', 'campaignanalysis02-mahindrae2olaunchmarch282013-130328080338-phpapp01_95.pdf', 'beerindustryfinalslides-110814110012-phpapp01_95.pdf']",https://www.slideshare.net/pkachare/1-new-land-acquisition-act-process-flow,,"[11, 13]",Single-Span,Multi-Hop,True
69,2014globaldigitalsociallandscape-140803004322-phpapp02_95,"How many countries are detailed in the report titled ""GLOBAL DIGITAL STATISTICS 2014""?",24,2014globaldigitalsociallandscape-140803004322-phpapp02_95.pdf,"['2014globaldigitalsociallandscape-140803004322-phpapp02_95.pdf', 'metalsmining-august2013-130926012516-phpapp02_95.pdf', 'gcconfessions-150413122429-conversion-gate01_95.pdf', 'colawarscontinue-final-140515114621-phpapp02_95.pdf', 'earthlinkweb-150213112111-conversion-gate02_95.pdf']",https://www.slideshare.net/rudymazaky/2014-digital-landscape-overview-by-wearesocialsg,,"[0, 1]",Non-Span,Multi-Hop & Discrete,True
71,2014globaldigitalsociallandscape-140803004322-phpapp02_95,How can the company which details 24 countries in the report be contacted?,"Email, Twitter, Phone, Website",2014globaldigitalsociallandscape-140803004322-phpapp02_95.pdf,"['2014globaldigitalsociallandscape-140803004322-phpapp02_95.pdf', 'asthmappt2007-130315043240-phpapp01_95.pdf', 'automobileindustryinindia-130807012739-phpapp01_95.pdf', 'metalsmining-august2013-130926012516-phpapp02_95.pdf']",https://www.slideshare.net/rudymazaky/2014-digital-landscape-overview-by-wearesocialsg,,"[1, 2]",Multi-Span,Multi-Hop,True
75,2014globaldigitalsociallandscape-140803004322-phpapp02_95,What percentage of the TOTAL POPULATION in the region where there are 252M mobile broadband subscriptions are ACTIVE SOCIAL NETWORK USERS?,56,2014globaldigitalsociallandscape-140803004322-phpapp02_95.pdf,"['2014globaldigitalsociallandscape-140803004322-phpapp02_95.pdf', 'assessmentoffetalwellbeinginpregnancyandlabour-jaipur-150303105805-conversion-gate01_95.pdf', 'androiddesignbysankalpjoshi-131008043332-phpapp02_95.pdf', 'earlybird-110722143746-phpapp02_95.pdf']",https://www.slideshare.net/rudymazaky/2014-digital-landscape-overview-by-wearesocialsg,,"[15, 16]",Single-Span,Multi-Hop,True
79,2014-11-14-inriaprovappt-141112043127-conversion-gate02_95,What are affiliations of the person who says resilient behaviors are active behavior intended to retain the system identity?,"MOSAIC, Universiteit Antwerpen, iMinds",2014-11-14-inriaprovappt-141112043127-conversion-gate02_95.pdf,"['2014-11-14-inriaprovappt-141112043127-conversion-gate02_95.pdf', 'connectivetissue-150209063549-conversion-gate01_95.pdf', 'benchmark-141008115150-conversion-gate01_95.pdf', 'phstartupreportv5-130727005123-phpapp02_95.pdf']",https://www.slideshare.net/VincenzoDeFlorio/a-behavioralinterpretation-of-resilience-and-antifragility,,"[0, 7]",Multi-Span,Multi-Hop,True
87,20140706whatcanfundraiserslearnfromrappers-140707171243-phpapp02_95,What are the six parts of COLLABORATION MODEL of the organization where James has a role of leading the UK digital strategy?,"Policy & campaigns, Individual Giving, Creative Agency, Donor Care, Media Partner, Comms.",20140706whatcanfundraiserslearnfromrappers-140707171243-phpapp02_95.pdf,"['20140706whatcanfundraiserslearnfromrappers-140707171243-phpapp02_95.pdf', 'deis-141102221759-conversion-gate01_95.pdf', 'dmbitalk-150712172913-lva1-app6892_95.pdf', 'chapter-3-seawater-160218031855_95.pdf', 'cdocumentsandsettingsdeedesktoptransmissionline12-090228010509-phpapp01_95.pdf', 'aqualisaquartzsss-120320224240-phpapp01_95.pdf', 'buildakickassteam-nopingpongtablerequired-151117144722-lva1-app6891_95.pdf', 'amethodologyforbuildingtheinternetofthings1-141127194112-conversion-gate01_95.pdf']",https://www.slideshare.net/robmosley/20140706-what-can-fundraisers-learn-from-rappers,,"[4, 16]",Multi-Span,Multi-Hop,True
89,2013alapurchasing-130214144910-phpapp02_95,"Is Penetration of the book, access levels of which range from public domain to short term loan or rentals, higher in Public or Academic libraries?",Academic,2013alapurchasing-130214144910-phpapp02_95.pdf,"['2013alapurchasing-130214144910-phpapp02_95.pdf', 'awsustainablefinal-110317140215-phpapp01_95.pdf', 'finalpresentationbayes-151030084118-lva1-app6892_95.pdf', '8apr2015gdfsession4-150408094801-conversion-gate01_95.pdf', 'roleofhrbusinesspartner-141201132920-conversion-gate01_95.pdf', 'amethodologyforbuildingtheinternetofthings1-141127194112-conversion-gate01_95.pdf', 'annualresidential110714-141107103135-conversion-gate01_95.pdf', 'reportq32015-151009093138-lva1-app6891_95.pdf']",https://www.slideshare.net/ALATechSource/2013-ala-purchasing,,"[5, 17]",Single-Span,Multi-Hop & Discrete,True
91,2013alapurchasing-130214144910-phpapp02_95,"Did Penetration of the book which can be read through such services as ePUB and kindle, in School libraries increase or decrease from 2011 to 2012?",Decrease,2013alapurchasing-130214144910-phpapp02_95.pdf,"['2013alapurchasing-130214144910-phpapp02_95.pdf', 'anaofspine-101212113106-phpapp01_95.pdf', 'fdi-110428004543-phpapp02_95.pdf', 'cerebralhemorrhage-090619101057-phpapp01_95.pdf', 'seotrainingbywebseoservices-120104095209-phpapp02_95.pdf', 'ebs-pgconnectshelsinkisept2016v4-150907095857-lva1-app6892_95.pdf', 'awsustainablefinal-110317140215-phpapp01_95.pdf', '2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf', 'creatingeconomiesofnaturepptpresentation04-09-2010-100521023140-phpapp02_95.pdf', '141121organicwayforward-141123090600-conversion-gate02_95.pdf']",https://www.slideshare.net/ALATechSource/2013-ala-purchasing,,"[4, 5]",Single-Span,Multi-Hop & Discrete,True
93,2013alapurchasing-130214144910-phpapp02_95,What is the user experience of the book which penetrated less in schools than in public in 2012 composed of?,"eBook content, vendor choice",2013alapurchasing-130214144910-phpapp02_95.pdf,"['2013alapurchasing-130214144910-phpapp02_95.pdf', 'overviewofapacheflinkbyslimbaltagi-150707030808-lva1-app6892_95.pdf', 'brandmanagement-itchotels-150823162717-lva1-app6892_95.pdf', 'caltraincapacitymountainview1-150701205750-lva1-app6891_95.pdf', 'foodstartups-10settembre-150213043959-conversion-gate01_95.pdf', 'europeactive-140730052811-phpapp02_95.pdf']",https://www.slideshare.net/ALATechSource/2013-ala-purchasing,,"[5, 9]",Multi-Span,Multi-Hop,True
103,agile-australia-when-enterprise-meets-devops-150623023618-lva1-app6891_95,What does the thing which is a process of continuous improvement connect to in the diagram?,BUSINESS PROBLEMS,agile-australia-when-enterprise-meets-devops-150623023618-lva1-app6891_95.pdf,"['agile-australia-when-enterprise-meets-devops-150623023618-lva1-app6891_95.pdf', 'antibiotics-141109111447-conversion-gate02_95.pdf', '2014globaldigitalsociallandscape-140803004322-phpapp02_95.pdf', 'dnasequencing-141109105933-conversion-gate01_95.pdf', 'amazonbusinessmodelfinal-12886154816988-phpapp02-121203003732-phpapp02_95.pdf', 'analytics1-151203211051-lva1-app6892_95.pdf', 'ndaandaindbyanthonycrasto-141027071531-conversion-gate02_95.pdf', 'apideck3-150304174454-conversion-gate01_95.pdf', 'gcconfessions-150413122429-conversion-gate01_95.pdf', '2012-02-20fy11roadshow-120221022442-phpapp02_95.pdf']",https://www.slideshare.net/ThoughtWorks/when-enterprise-meets-devops,,"[7, 9]",Single-Span,Multi-Hop,True
111,afabric-manufacturing-150314104020-conversion-gate01_95,What are the three types of manufacturing technology for a manufactured assembly of fibres or yarns that has substantial surface area in relation to its thickness and sufficient cohesion to give the assembly useful mechanical strength?,"Weaving, Knitting, Non-Woven",afabric-manufacturing-150314104020-conversion-gate01_95.pdf,"['afabric-manufacturing-150314104020-conversion-gate01_95.pdf', 'seotrainingbywebseoservices-120104095209-phpapp02_95.pdf', 'rememberingvacantlots-residentsuseofinformalurbangreenspaceaschildrenandteenagersinjapanandaustralia-150529114046-lva1-app6892_95.pdf', 'barcampbournemouthcanvaskeynote-100410160445-phpapp02_95.pdf', 'landslides-150301232437-conversion-gate02_95.pdf']",https://www.slideshare.net/88azmir/fabric-manufacturing-weaving-preparation,,"[5, 7]",Multi-Span,Multi-Hop,True
116,141121organicwayforward-141123090600-conversion-gate02_95,The F2C initiative to create a meeting ground for nature-friendly consumers and farmers links farmers to whom?,consumers,141121organicwayforward-141123090600-conversion-gate02_95.pdf,"['141121organicwayforward-141123090600-conversion-gate02_95.pdf', 'efis-140411041451-phpapp01_95.pdf', 'brandmanagement-itchotels-150823162717-lva1-app6892_95.pdf', 'comparativereportonhealthyfoodinthailandindonesiaandvietnamin2015-150612065514-lva1-app6892_95.pdf']",https://www.slideshare.net/ramoo/organic-way-forward,,"[5, 6]",Single-Span,Multi-Hop,True
121,chinatourismreport-100310054348-phpapp01_95,How many major languages are there in the country that has control over mainland China and the largely self-governing territories of Hong Kong (since 1997) and Macau (since 1999)?,8,chinatourismreport-100310054348-phpapp01_95.pdf,"['chinatourismreport-100310054348-phpapp01_95.pdf', 'chinajoy-sns-v3-090724053148-phpapp02_95.pdf', 'researchreportonfootballinindia2015-150122112755-conversion-gate01_95.pdf', 'marymeekersinternettrends2015underlined-150604010855-lva1-app6891_95.pdf', 'arrestingaudiences-100923234826-phpapp01_95.pdf', 'presentation-140726083339-phpapp01_95.pdf', 'chinakeynoteforeastmeetswest-141107201900-conversion-gate01_95.pdf']",https://www.slideshare.net/ssoman/china-tourism-report,,"[1, 2]",Non-Span,Multi-Hop & Discrete,True
128,associationmappinginplants-150413205026-conversion-gate01_95,What are two approaches for what is also called linkage disequilibrium mapping?,"Candidate gene, Genome wide",associationmappinginplants-150413205026-conversion-gate01_95.pdf,"['associationmappinginplants-150413205026-conversion-gate01_95.pdf', 'siecomsservicemarketingapril201424042014ver2-140505001912-phpapp02_95.pdf', 'cobaltpresentation-110513172526-phpapp02_95.pdf', '20140706whatcanfundraiserslearnfromrappers-140707171243-phpapp02_95.pdf', 'connectedcarsecurity-150902031020-lva1-app6892_95.pdf', 'reutersinstitutedigitalnewsreport2014-140620083406-phpapp01_95.pdf', 'asixstepcontentmarketingmodel-120206005134-phpapp01_95.pdf', 'caltraincapacitymountainview1-150701205750-lva1-app6891_95.pdf', 'awsreinvent2014perftuningec2-141112191859-conversion-gate02_95.pdf']",https://www.slideshare.net/waseemhussain7/association-mapping-in-plants,,"[6, 15]",Multi-Span,Multi-Hop,True
132,chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95,Who are the authors of the book about the process of coordinating work activities so that they are completed efficiently and effectively with and through other people pictured in the presentation?,"Stephen P. Robbins, Mary Coulter, Robin Stuart-Kotze",chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95.pdf,"['chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95.pdf', 'fintechver8-thejunction-130112110154-phpapp02_95.pdf', 'buildakickassteam-nopingpongtablerequired-151117144722-lva1-app6891_95.pdf', 'designcitieslikeyougiveadamn-111006154943-phpapp01_95.pdf', 'publicopinionlandscape-election201610-151013152816-lva1-app6892_95.pdf']",https://www.slideshare.net/bsetm/chapter-1-introduction-to-management-and-organizations,,"[0, 6]",Multi-Span,Multi-Hop,True
134,chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95,"What level comes between ""all managers between the first-line level and the top level of the organization who manage first line managers"" and Non-managerial Employees?",First-line Managers,chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95.pdf,"['chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95.pdf', 'bookofdaniel-090827093753-phpapp01_95.pdf', 'awsreinvent2014perftuningec2-141112191859-conversion-gate02_95.pdf', 'finala-141102115850-conversion-gate01_95.pdf', 'citrix2-091030171010-phpapp02_95.pdf', 'roadsectorppt-july7-100901040020-phpapp02_95.pdf', 'appotamobilemarketreportq1-140409223140-phpapp01_95.pdf']",https://www.slideshare.net/bsetm/chapter-1-introduction-to-management-and-organizations,,"[4, 5]",Single-Span,Multi-Hop,True
137,chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95,What are examples of identifiable activities for the role of the figureheads that involve people and duties that are ceremonial and symbolic in nature?,"Greeting visitors, signing legal documents",chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95.pdf,"['chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95.pdf', 'finalppthighrise-130504010636-phpapp02_95.pdf', 'colawarscontinue-final-140515114621-phpapp02_95.pdf', 'cmw2014workshopv2-140912093008-phpapp01_95.pdf']",https://www.slideshare.net/bsetm/chapter-1-introduction-to-management-and-organizations,,"[11, 12]",Multi-Span,Multi-Hop,True
139,chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95,Are skills that require knowledge of and proficiency in a certain specialized field more important for top management or lower-level management?,Lower-level Management,chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95.pdf,"['chapter1-introductiontomanagementandorganizations-090411125412-phpapp02_95.pdf', 'automotivecomponentsindustry-100405083435-phpapp01_95.pdf', 'blueoceanstrategypresentation-130214083415-phpapp02_95.pdf', 'blackfriday-131210025239-phpapp02_95.pdf', 'presentation-140726083339-phpapp01_95.pdf', 'bls1-130817020622-phpapp01_95.pdf']",https://www.slideshare.net/bsetm/chapter-1-introduction-to-management-and-organizations,,"[13, 14]",Single-Span,Multi-Hop & Discrete,True
141,bearing1-151117114834-lva1-app6892_95,"What are two types of a device to permit constrained relative motion between two parts, typically rotation or linear movement?","ANTIFRICTION, FRICTION",bearing1-151117114834-lva1-app6892_95.pdf,"['bearing1-151117114834-lva1-app6892_95.pdf', 'connectivetissue-150209063549-conversion-gate01_95.pdf', 'dr-vorapptchapter1emissionsources-121120210508-phpapp02_95.pdf', 'b2bproductsalesforstartupsbylucboillyv0-160406160814_95.pdf', 'asoextended-150217100406-conversion-gate01_95.pdf', 'presentation-150429012118-conversion-gate01_95.pdf', 'nielsen2015musicbizpresentation-final-150526143534-lva1-app6891_95.pdf', 'citizenscience-practiceandpolicy-huji-151214131928_95.pdf', 'erpmodule-120905074920-phpapp02_95.pdf', 'asthmappt2007-130315043240-phpapp01_95.pdf']",https://www.slideshare.net/pankajdudeja23/bearing-description-about-basic-types-failure-causes,,"[1, 4]",Multi-Span,Multi-Hop,True
159,analysisofkoreanwinemarket-20150902-daejeon-150829090424-lva1-app6891_95,Have wine import amounts and volume been trending up or down during the period from 1995 to the year in which Italy’s yearly growth in sparkling volume was negative?,Up,analysisofkoreanwinemarket-20150902-daejeon-150829090424-lva1-app6891_95.pdf,"['analysisofkoreanwinemarket-20150902-daejeon-150829090424-lva1-app6891_95.pdf', 'dfb-ydp-140711173913-phpapp02_95.pdf', '141121organicwayforward-141123090600-conversion-gate02_95.pdf', 'shrmsurveyfindingsstrategic-benefits-health-care-151014192447-lva1-app6891_95.pdf', 'comparativereportonhealthyfoodinthailandindonesiaandvietnamin2015-150612065514-lva1-app6892_95.pdf', 'asiasshoppingsafarifinalwebinardeckforparticipants-141105212832-conversion-gate01_95.pdf', 'axuremeetup-130504183752-phpapp02_95.pdf', 'electionsreportmarch2014modiandbjpmaintainsleadcongressovertakesaap-140408123044-phpapp01_95.pdf']",https://www.slideshare.net/hwjeong101/analysis-of-korean-wine-market-20150902daejeon,,"[3, 18]",Single-Span,Multi-Hop,True
